,Num_Acc,place,catu,grav,sexe,secu,locp,actp,etatp,an_nais,num_veh,senc,catv,occutc,obs,obsm,choc,manv,mois,jour,hrmn,lum,agg,int,atm,col,mom,catvopp,catv_gen,catvopp_gen
23658,201600010637,0.0,3,4,2,0.0,4.0,3.0,1.0,1987.0,A01,1.0,7,0,0.0,1.0,1.0,13.0,2,1,1940,5,2,1,1,6,4,7,2,2
23659,201600010638,1.0,1,4,1,11.0,0.0,0.0,0.0,1951.0,A01,2.0,7,0,0.0,1.0,3.0,1.0,2,3,1625,1,2,1,1,6,3,7,2,2
23660,201600010638,0.0,3,3,2,0.0,2.0,1.0,1.0,2000.0,A01,2.0,7,0,0.0,1.0,3.0,1.0,2,3,1625,1,2,1,1,6,3,7,2,2
23661,201600010639,1.0,1,3,1,21.0,0.0,0.0,0.0,1993.0,A01,2.0,33,0,0.0,0.0,0.0,0.0,2,5,1400,1,2,3,1,7,3,33,1,1
23662,201600010640,2.0,2,4,1,11.0,0.0,0.0,0.0,1938.0,B01,2.0,7,0,0.0,2.0,2.0,0.0,2,6,1615,1,2,3,1,3,3,7,2,2
23663,201600010640,1.0,1,4,1,11.0,0.0,0.0,0.0,1959.0,B01,2.0,7,0,0.0,2.0,2.0,0.0,2,6,1615,1,2,3,1,3,3,7,2,2
23664,201600010640,1.0,1,1,1,11.0,0.0,0.0,0.0,1949.0,A01,1.0,7,0,0.0,2.0,1.0,15.0,2,6,1615,1,2,3,1,3,3,7,2,2
23665,201600010641,1.0,1,1,1,13.0,0.0,0.0,0.0,1967.0,A01,2.0,7,0,0.0,2.0,3.0,13.0,2,5,2342,5,2,1,1,3,5,7,2,2
23666,201600010641,1.0,1,1,1,11.0,0.0,0.0,0.0,1993.0,B01,1.0,7,0,0.0,0.0,8.0,1.0,2,5,2342,5,2,1,1,3,5,7,2,2
23667,201600010641,2.0,2,1,1,11.0,0.0,0.0,0.0,1979.0,B01,1.0,7,0,0.0,0.0,8.0,1.0,2,5,2342,5,2,1,1,3,5,7,2,2
23668,201600010641,3.0,2,3,1,11.0,0.0,0.0,0.0,2001.0,B01,1.0,7,0,0.0,0.0,8.0,1.0,2,5,2342,5,2,1,1,3,5,7,2,2
23669,201600010642,1.0,1,1,2,11.0,0.0,0.0,0.0,1968.0,A01,1.0,7,0,0.0,2.0,3.0,15.0,2,5,1315,1,2,1,1,3,2,30,2,1
23670,201600010642,1.0,1,4,1,21.0,0.0,0.0,0.0,1998.0,B01,1.0,30,0,0.0,2.0,1.0,1.0,2,5,1315,1,2,1,1,3,2,7,1,2
23671,201600010643,1.0,1,1,2,11.0,0.0,0.0,0.0,1963.0,A01,2.0,7,0,0.0,2.0,1.0,2.0,2,8,1300,1,2,1,1,2,2,7,2,2
23672,201600010643,1.0,1,4,2,11.0,0.0,0.0,0.0,1960.0,B01,2.0,7,0,0.0,2.0,4.0,2.0,2,8,1300,1,2,1,1,2,2,7,2,2
